k[1/Mpc], k[h/Mpc], Delta2_lin, Delta2_nl, Delta2_nl_30
6.093859630674423357e-03,8.986668088297334461e-03,7.899307195239985363e-04,7.851316243232882731e-04,7.851316091718895827e-04
6.150273756765033822e-03,9.069862493385981092e-03,8.155090045897164797e-04,8.105098699771574270e-04,8.105098541356827021e-04
6.207210138669760902e-03,9.153827073690843155e-03,8.418775759798928938e-04,8.366703193157495931e-04,8.366703027584781972e-04
6.264673611190718812e-03,9.238568959136880115e-03,8.690591663872669626e-04,8.636353923556763443e-04,8.636353750564006171e-04
6.322669053888357697e-03,9.324095345654559788e-03,8.970770540985671280e-04,8.914280435892252101e-04,8.914280255188013636e-04
6.381201391495837025e-03,9.410413495790940705e-03,9.259551082704744075e-04,9.200718066748606516e-04,9.200717878012981080e-04
6.440275594337221444e-03,9.497530739326383656e-03,9.557178008701527720e-04,9.495908059948722372e-04,9.495907862826198989e-04
6.499896678749540746e-03,9.585454473896977412e-03,9.863902264634842165e-04,9.800097759977818759e-04,9.800097554073356441e-04
6.560069707508704370e-03,9.674192165622628320e-03,1.017998147096315590e-03,1.011354105449097270e-03,1.011354083941262694e-03
6.620799790259493389e-03,9.763751349741178059e-03,1.050567982774165731e-03,1.043649827633978504e-03,1.043649805169766373e-03
6.682092083949403571e-03,9.854139631248197417e-03,1.084126813346494682e-03,1.076923621882615529e-03,1.076923598419921068e-03
6.743951793266546833e-03,9.945364685542761388e-03,1.118702391581553055e-03,1.111202826200770495e-03,1.111202801689406420e-03
6.806384171081621484e-03,1.003743425907922295e-02,1.154323140078532392e-03,1.146515433841464784e-03,1.146515408222241895e-03
6.869394518893988562e-03,1.013035617002505315e-02,1.191018096393619934e-03,1.182890038457095824e-03,1.182890011683126932e-03
6.932988187281809156e-03,1.022413830892465562e-02,1.228816972260950548e-03,1.220355892536488518e-03,1.220355864573046626e-03
6.997170576356416191e-03,1.031878863936943821e-02,1.267750188910324229e-03,1.258942942084041510e-03,1.258942912896440607e-03
7.061947136220890313e-03,1.041431519867407410e-02,1.307848889481715406e-03,1.298681838544161072e-03,1.298681808081834834e-03
7.127323367432815589e-03,1.051072609855893680e-02,1.349144979546826719e-03,1.339603978612210772e-03,1.339603946800079284e-03
7.193304821471390234e-03,1.060802952583894676e-02,1.391671255988701514e-03,1.381741631716972918e-03,1.381741598491472442e-03
7.259897101208849859e-03,1.070623374311878775e-02,1.435461340684186663e-03,1.425127873724654900e-03,1.425127839034547560e-03
7.327105861386203241e-03,1.080534708949447420e-02,1.480549655971447574e-03,1.469796562128175381e-03,1.469796525914881082e-03
7.394936809093428931e-03,1.090537798126150863e-02,1.526971439199299556e-03,1.515782350019615528e-03,1.515782312192171010e-03
7.463395704254117968e-03,1.100633491262957911e-02,1.574762660748412531e-03,1.563120604273003037e-03,1.563120564703722893e-03
7.532488360114540996e-03,1.110822645644379998e-02,1.623959642059825135e-03,1.611847026120468221e-03,1.611846984738735111e-03
7.602220643737307194e-03,1.121106126491270769e-02,1.674599341177887080e-03,1.661997934107044663e-03,1.661997890897864072e-03
7.672598476499591612e-03,1.131484807034300460e-02,1.726719493276994812e-03,1.713610403062428445e-03,1.713610358015782995e-03
7.743627834595910066e-03,1.141959568588100590e-02,1.780358618678084788e-03,1.766722271565649175e-03,1.766722224613429502e-03
7.815314749545616835e-03,1.152531300626104781e-02,1.835556163912099512e-03,1.821372281361659804e-03,1.821372232343654004e-03
7.887665308705089570e-03,1.163200900856081570e-02,1.892353051316108094e-03,1.877600621878712907e-03,1.877600570675809879e-03
7.960685655784633524e-03,1.173969275296362323e-02,1.950791312862765105e-03,1.935448566326555082e-03,1.935448512873241692e-03
8.034381991370131981e-03,1.184837338352769803e-02,2.010913925659736385e-03,1.994958307928702303e-03,1.994958252158125344e-03
8.108760573449658865e-03,1.195806012896277574e-02,2.072764827415376609e-03,2.056172974665130930e-03,2.056172916441036114e-03
8.183827717944843622e-03,1.206876230341371974e-02,2.136388795184557005e-03,2.119136508446914976e-03,2.119136447543736642e-03
8.259589799247138431e-03,1.218048930725134683e-02,2.201830910270002710e-03,2.183893134060237422e-03,2.183893070371183825e-03
8.336053250759202851e-03,1.229325062787081993e-02,2.269136956006730967e-03,2.250487753131168341e-03,2.250487686661932843e-03
8.413224565441147426e-03,1.240705584049719284e-02,2.338353606539047332e-03,2.318966130725270015e-03,2.318966061478412635e-03
8.491110296361879112e-03,1.252191460899849430e-02,2.409528433264073680e-03,2.389374901132008955e-03,2.389374828965406400e-03
8.569717057255578016e-03,1.263783668670635275e-02,2.482709926491008089e-03,2.461761588719201237e-03,2.461761513289251625e-03
8.649051523083333207e-03,1.275483191724426091e-02,2.557947563516935890e-03,2.536174674768355754e-03,2.536174595895498290e-03
8.729120430599899422e-03,1.287291023536336725e-02,2.635291769732221213e-03,2.612663558272681000e-03,2.612663475955070373e-03
8.809930578925786321e-03,1.299208166778614663e-02,2.714793903384848332e-03,2.691278540189221552e-03,2.691278454434565138e-03
8.891488830124631704e-03,1.311235633405785465e-02,2.796506260407497901e-03,2.772070827569152705e-03,2.772070738189659315e-03
8.973802109785850023e-03,1.323374444740576562e-02,2.880482105467856851e-03,2.855092563657691748e-03,2.855092470188292861e-03
9.056877407612748745e-03,1.335625631560647189e-02,2.966775781328726599e-03,2.940396935543123941e-03,2.940396837764788600e-03
9.140721778016095214e-03,1.347990234186122183e-02,3.055442637295931966e-03,3.028038102554186321e-03,3.028038000511785750e-03
9.225342340713094114e-03,1.360469302567924102e-02,3.146538998619862089e-03,3.118071165248242644e-03,3.118071059010365641e-03
9.310746281331985438e-03,1.373063896376933331e-02,3.240122169896843349e-03,3.210552168080183649e-03,3.210552057447546483e-03
9.396940852022254292e-03,1.385775085093976337e-02,3.336250437985627607e-03,3.305538101584612910e-03,3.305537985969787037e-03
9.483933372070395273e-03,1.398603948100633418e-02,3.434983074679113114e-03,3.403086904309730008e-03,3.403086783446493055e-03
9.571731228521456955e-03,1.411551574770897495e-02,3.536380337717107743e-03,3.503257463103352180e-03,3.503257337048057505e-03
9.660341876806356060e-03,1.424619064563686054e-02,3.640503471299198681e-03,3.606109612899965726e-03,3.606109481675735026e-03
9.749772841374907545e-03,1.437807527116193376e-02,3.747414706023988965e-03,3.711704135936614093e-03,3.711703999104093953e-03
9.840031716334782241e-03,1.451118082338118467e-02,3.857176846789057197e-03,3.820102353147278047e-03,3.820102209689210573e-03
9.931126166096405916e-03,1.464551860506769707e-02,3.969851680545435045e-03,3.931364547838391531e-03,3.931364397444998479e-03
1.002306392602375813e-02,1.478110002363037558e-02,4.085501116917218158e-03,4.045551094629406402e-03,4.045550937700111323e-03
1.011585280309120968e-02,1.491793659208259792e-02,4.204187678835437370e-03,4.162722944622278612e-03,4.162722781645137281e-03
1.020950067654649053e-02,1.505603993001989466e-02,4.325974474771080748e-03,4.282941597404675386e-03,4.282941428207437569e-03
1.030401549857974143e-02,1.519542176460660782e-02,4.450926042687279073e-03,4.406269935451576428e-03,4.406269758835712133e-03
1.039940529499882096e-02,1.533609393157177488e-02,4.579111663273120747e-03,4.532775500616563133e-03,4.532775315934788052e-03
1.049567816591076563e-02,1.547806837621407659e-02,4.710602899967605145e-03,4.662528058460390160e-03,4.662527865750753717e-03
1.059284228640964415e-02,1.562135715441622698e-02,4.845472526576652048e-03,4.795598536311646877e-03,4.795598335696992648e-03
1.069090590727078335e-02,1.576597243366875331e-02,4.983794536530379744e-03,4.932059031579067408e-03,4.932058822547245175e-03
1.078987735565132590e-02,1.591192649410311938e-02,5.125643635600262565e-03,5.071982309312370908e-03,5.071982090478580410e-03
1.088976503579740934e-02,1.605923172953459613e-02,5.271093293949094365e-03,5.215439875709596516e-03,5.215439646701821967e-03
1.099057742975775680e-02,1.620790064851460738e-02,5.420217186801266906e-03,5.362503402764337741e-03,5.362503164118747473e-03
1.109232309810395667e-02,1.635794587539294437e-02,5.573089807187012364e-03,5.513245333668371530e-03,5.513245085775552411e-03
1.119501068065744190e-02,1.650938015138982487e-02,5.729786446862632568e-03,5.667738863371745046e-03,5.667738605219050513e-03
1.129864889722306462e-02,1.666221633567772226e-02,5.890382257585628605e-03,5.826057010311154645e-03,5.826056739180114283e-03
1.140324654832958889e-02,1.681646740647336352e-02,6.054948785283432999e-03,5.988269191557325614e-03,5.988268906784810150e-03
1.150881251597702347e-02,1.697214646213983727e-02,6.223556490587113348e-03,6.154443715081400236e-03,6.154443418029230915e-03
1.161535576439078413e-02,1.712926672229875269e-02,6.396275785437170909e-03,6.324648804422764933e-03,6.324648496676740957e-03
1.172288534078292158e-02,1.728784152895284157e-02,6.573176961239777898e-03,6.498952527755508246e-03,6.498952208970060554e-03
1.183141037612042007e-02,1.744788434761896517e-02,6.754331471876714489e-03,6.677424065264931860e-03,6.677423732211519754e-03
1.194094008590047308e-02,1.760940876847142539e-02,6.939816896690887034e-03,6.860138610122652920e-03,6.860138261415136066e-03
1.205148377093311594e-02,1.777242850749611441e-02,7.129713098458912227e-03,7.047173571143919811e-03,7.047173207466949328e-03
1.216305081813094137e-02,1.793695740765512484e-02,7.324100586682137821e-03,7.238606955512052153e-03,7.238606577672046342e-03
1.227565070130621702e-02,1.810300944006225723e-02,7.523060491634644270e-03,7.434517342895690870e-03,7.434516949506222300e-03
1.238929298197541211e-02,1.827059870516946002e-02,7.726673907355943727e-03,7.634983236659986447e-03,7.634982823447044285e-03
1.250398731017104276e-02,1.843973943396408008e-02,7.935019549709862452e-03,7.840080752451170087e-03,7.840080318448088351e-03
1.261974342526115019e-02,1.861044598917733356e-02,8.148175468420603210e-03,8.049885309476737319e-03,8.049884856930688073e-03
1.273657115677636481e-02,1.878273286650400387e-02,8.366219726036240936e-03,8.264472301210204486e-03,8.264471832589543113e-03
1.285448042524451641e-02,1.895661469583323488e-02,8.589230337415454733e-03,8.483917036034689663e-03,8.483916550478590862e-03
1.297348124303307655e-02,1.913210624249089484e-02,8.817285710281862199e-03,8.708295172328895523e-03,8.708294664316183764e-03
1.309358371519941423e-02,1.930922240849345869e-02,9.050466409922956756e-03,8.937684459511178667e-03,8.937683927236856826e-03
1.321479804034877623e-02,1.948797823381326691e-02,9.288853699637498670e-03,9.172163297649804647e-03,9.172162743011601227e-03
1.333713451150042410e-02,1.966838889765583701e-02,9.532528909338837050e-03,9.411810114917153539e-03,9.411809539615642248e-03
1.346060351696157405e-02,1.985046971974866944e-02,9.781573383426995019e-03,9.656703316781338128e-03,9.656702717718540496e-03
1.358521554120957313e-02,2.003423616164219656e-02,1.003606669917138892e-02,9.906919530081692224e-03,9.906918898300216131e-03
1.371098116578223745e-02,2.021970382802276353e-02,1.029608039768562314e-02,1.016252742462697180e-02,1.016252675857183367e-02
1.383791107017631576e-02,2.040688846803762752e-02,1.056168269832808045e-02,1.042359236621451593e-02,1.042359167146614252e-02
1.396601603275437510e-02,2.059580597663231843e-02,1.083294034126397985e-02,1.069017823579727737e-02,1.069017751876489598e-02
1.409530693166011553e-02,2.078647239590047935e-02,1.110991845996634614e-02,1.096234730594885382e-02,1.096234656640921595e-02
1.422579474574199761e-02,2.097890391644594704e-02,1.139268421821786927e-02,1.124016382683473182e-02,1.124016305468330222e-02
1.435749055548557127e-02,2.117311687875766263e-02,1.168132008204595014e-02,1.152370710184019362e-02,1.152370629275920218e-02
1.449040554395442798e-02,2.136912777459729768e-02,1.197591327857057235e-02,1.181306109518581379e-02,1.181306025136890508e-02
1.462455099773972596e-02,2.156695324839953687e-02,1.227655155413387607e-02,1.210831025219615865e-02,1.210830937616954803e-02
1.475993830791865261e-02,2.176661009868552030e-02,1.258332316206884141e-02,1.240953948837632097e-02,1.240953857577912871e-02
1.489657897102175145e-02,2.196811527948938289e-02,1.289631369803739824e-02,1.271683107449100673e-02,1.271683011245892253e-02
1.503448459000905103e-02,2.217148590179774531e-02,1.321559499237381051e-02,1.303025370415246409e-02,1.303025269140405812e-02
1.517366687525546071e-02,2.237673923500289180e-02,1.354123379380648556e-02,1.334987105332470156e-02,1.334986999872464497e-02
1.531413764554507076e-02,2.258389270836907645e-02,1.387329514405108953e-02,1.367574510742889174e-02,1.367574401921116053e-02
1.545590882907478363e-02,2.279296391251258228e-02,1.421184225999701407e-02,1.400793604889767272e-02,1.400793492203900557e-02
1.559899246446726923e-02,2.300397060089554371e-02,1.455693704832488125e-02,1.434650276730298733e-02,1.434650157995998217e-02
1.574340070179313517e-02,2.321693069133333454e-02,1.490864219346930974e-02,1.469150491715566498e-02,1.469150366365141319e-02
1.588914580360270210e-02,2.343186226751614934e-02,1.526701928113114240e-02,1.504300107426896627e-02,1.504299976548129428e-02
1.603624014596735300e-02,2.364878358054468832e-02,1.563212799591310459e-02,1.540104795034863590e-02,1.540104659988583008e-02
1.618469621953034024e-02,2.386771305047978228e-02,1.600402601025342417e-02,1.576570028829988104e-02,1.576569889632484928e-02
1.633452663056750298e-02,2.408866926790665525e-02,1.638277319741216279e-02,1.613701500954937626e-02,1.613701355603928966e-02
1.648574410205777899e-02,2.431167099551360955e-02,1.676844641009579695e-02,1.651506574520269707e-02,1.651506422306418462e-02
1.663836147476349323e-02,2.453673716968513691e-02,1.716112744398354956e-02,1.689993099570265278e-02,1.689992941061982043e-02
1.679239170832083974e-02,2.476388690211006952e-02,1.756089838116630178e-02,1.729168955431412830e-02,1.729168790990824253e-02
1.694784788234027575e-02,2.499313948140432715e-02,1.796784159065155373e-02,1.769042051130977067e-02,1.769041879202527812e-02
1.710474319751721997e-02,2.522451437474888467e-02,1.838203243536076434e-02,1.809619609231257267e-02,1.809619426193588218e-02
1.726309097675306214e-02,2.545803122954293229e-02,1.880351444866631971e-02,1.850905728206735795e-02,1.850905533852983606e-02
1.742290466628638318e-02,2.569370987507208631e-02,1.923231941389216479e-02,1.892903357598577779e-02,1.892903154818216180e-02
1.758419783683479523e-02,2.593157032419229208e-02,1.966847491801319500e-02,1.935615041272647011e-02,1.935614833339701843e-02
1.774698418474738443e-02,2.617163277502932220e-02,2.011200416576666011e-02,1.979042900061158544e-02,1.979042687473343137e-02
1.791127753316762092e-02,2.641391761269373112e-02,2.056293812019316380e-02,2.023189824607034282e-02,2.023189603656666211e-02
1.807709183320723237e-02,2.665844541101199117e-02,2.102135675762672323e-02,2.068063524951448823e-02,2.068063293730976887e-02
1.824444116513092295e-02,2.690523693427359156e-02,2.148735498091645241e-02,2.113673181887509508e-02,2.113672940645839465e-02
1.841333973955187539e-02,2.715431313899406215e-02,2.196102983758960528e-02,2.160028192138202519e-02,2.160027941168280244e-02
1.858380189863862580e-02,2.740569517569477198e-02,2.244248061391675847e-02,2.207138178050011001e-02,2.207137915288973767e-02
1.875584211733278411e-02,2.765940439069869070e-02,2.293180061680138299e-02,2.255012181922514888e-02,2.255011902716261285e-02
1.892947500457826254e-02,2.791546232794316768e-02,2.342904970760518318e-02,2.303655973353034223e-02,2.303655677693771872e-02
1.910471530456186312e-02,2.817389073080941303e-02,2.393427721100244848e-02,2.353074299231530664e-02,2.353073991087503009e-02
1.928157789796516863e-02,2.843471154396868747e-02,2.444753036257115222e-02,2.403271713683082303e-02,2.403271397173276092e-02
1.946007780322820194e-02,2.869794691524583594e-02,2.496885423109376778e-02,2.454252571494531729e-02,2.454252246490990289e-02
1.964023017782481201e-02,2.896361919750008868e-02,2.549830075254438597e-02,2.506021914644434787e-02,2.506021575172118210e-02
1.982205031954963753e-02,2.923175095052298403e-02,2.603595834175083737e-02,2.558588374458103595e-02,2.558588018039258463e-02
2.000555366781721703e-02,2.950236494295415887e-02,2.658192691949745959e-02,2.611961722682394627e-02,2.611961350622874628e-02
2.019075580497307551e-02,2.977548415421482630e-02,2.713630889121685513e-02,2.666151987746605279e-02,2.666151601701659615e-02
2.037767245761681542e-02,3.005113177645895098e-02,2.769920925274451523e-02,2.721169465919406893e-02,2.721169064020983672e-02
2.056631949793760045e-02,3.032933121654269107e-02,2.827073350458982406e-02,2.777024517894608954e-02,2.777024093921132489e-02
2.075671294506201831e-02,3.061010609801211729e-02,2.885098078190825865e-02,2.833726897221540073e-02,2.833726450295065771e-02
2.094886896641422191e-02,3.089348026310901121e-02,2.944004991837920887e-02,2.891286345616033565e-02,2.891285879611849019e-02
2.114280387908896303e-02,3.117947777479569693e-02,3.003804164611891328e-02,2.949712809509515490e-02,2.949712328495609701e-02
2.133853415123702219e-02,3.146812291879814288e-02,3.064505867337069187e-02,3.009016448746119551e-02,3.009015951844729725e-02
2.153607640346368382e-02,3.175944020566831560e-02,3.126121275422328455e-02,3.069208329393359469e-02,3.069207809209905172e-02
2.173544741024014890e-02,3.205345437286557381e-02,3.188664622494795375e-02,3.130302530917646042e-02,3.130301984630717849e-02
2.193666410132783656e-02,3.235019038685715137e-02,3.252151339660224599e-02,3.192314325002208741e-02,3.192313754543575632e-02
2.213974356321602929e-02,3.264967344523820453e-02,3.316597434529373195e-02,3.255259568687908500e-02,3.255258976807347271e-02
2.234470304057288234e-02,3.295192897887166961e-02,3.382019512950463352e-02,3.319154726571244690e-02,3.319154112509463406e-02
2.255155993770961709e-02,3.325698265404750803e-02,3.448435319149015937e-02,3.384017399738660503e-02,3.384016757836342398e-02
2.276033182005850197e-02,3.356486037466229616e-02,3.515865259354566952e-02,3.449867815245782204e-02,3.449867143216460430e-02
2.297103641566449264e-02,3.387558828441895181e-02,3.584331075295447283e-02,3.516727529181237072e-02,3.516726828029258928e-02
2.318369161669046885e-02,3.418919276904655580e-02,3.653855440579540509e-02,3.584619032807808553e-02,3.584618303852569327e-02
2.339831548093675856e-02,3.450570045854115669e-02,3.724461995083455657e-02,3.653565787008046517e-02,3.653565028763804817e-02
2.361492623337435245e-02,3.482513822942685799e-02,3.796175617862575236e-02,3.723592489657820415e-02,3.723591697136606482e-02
2.383354226769256526e-02,3.514753320703814521e-02,3.869023090261976966e-02,3.794725723684095470e-02,3.794724894523361647e-02
2.405418214786103973e-02,3.547291276782338354e-02,3.943032541958680498e-02,3.866993416445827642e-02,3.866992550966470710e-02
2.427686460970596150e-02,3.580130454166931264e-02,4.018233319937963149e-02,3.940424712556543640e-02,3.940423812071251752e-02
2.450160856250109889e-02,3.613273641424730176e-02,4.094656033802622497e-02,4.015050018972171619e-02,4.015049084219370068e-02
2.472843309057358788e-02,3.646723652938149013e-02,4.172333482889992173e-02,4.090901910278878228e-02,4.090900939982859696e-02
2.495735745492434071e-02,3.680483329143834081e-02,4.251302697612679982e-02,4.168017119607542870e-02,4.168016109980263867e-02
2.518840109486367509e-02,3.714555536773878758e-02,4.331602955255689502e-02,4.246434601919758106e-02,4.246433547931344893e-02
2.542158362966210824e-02,3.748943169099263478e-02,4.413275328744901277e-02,4.326195094200950553e-02,4.326193991698205898e-02
2.565692486021616328e-02,3.783649146175514094e-02,4.496362756064736788e-02,4.407341183736842444e-02,4.407340032340995029e-02
2.589444477072998241e-02,3.818676415090691695e-02,4.580910342174863287e-02,4.489917602946608133e-02,4.489916405000764221e-02
2.613416353041211893e-02,3.854027950215619530e-02,4.666965840015261519e-02,4.573971698403508923e-02,4.573970450604469135e-02
2.637610149518830951e-02,3.889706753456467769e-02,4.754579260781265082e-02,4.659553051212932118e-02,4.659551747576924641e-02
2.662027920943008108e-02,3.925715854509671116e-02,4.843802864557170129e-02,4.746713468371703548e-02,4.746712106497484596e-02
2.686671740769915745e-02,3.962058311119179277e-02,4.934691263401180805e-02,4.835507083723021571e-02,4.835505672341144229e-02
2.711543701650820370e-02,3.998737209336115928e-02,5.027303482143057750e-02,4.925992364547242264e-02,4.925990915530382291e-02
2.736645915609792201e-02,4.035755663780846852e-02,5.121705366949892702e-02,5.018234454090525487e-02,5.018232958073699096e-02
2.761980514223032548e-02,4.073116817907435766e-02,5.217966386899375308e-02,5.112302055581854215e-02,5.112300490716505802e-02
2.787549648799886315e-02,4.110823844270588417e-02,5.316159287718833643e-02,5.208267094940217945e-02,5.208265442484114743e-02
2.813355490565530928e-02,4.148879944795060698e-02,5.416360141397899564e-02,5.306204769069248345e-02,5.306203031130106440e-02
2.839400230845331302e-02,4.187288351047531443e-02,5.518643844844522972e-02,5.406189169139103551e-02,5.406187359617999066e-02
2.865686081250926054e-02,4.226052324511024583e-02,5.623081668667665595e-02,5.508290902834193231e-02,5.508289020231809524e-02
2.892215273868036993e-02,4.265175156861874400e-02,5.729747305238718641e-02,5.612582980542617922e-02,5.612581017065526590e-02
2.918990061445988701e-02,4.304660170249208911e-02,5.838717510721493781e-02,5.719141440898790896e-02,5.719139396809708176e-02
2.946012717589026331e-02,4.344510717577092229e-02,5.950072579743952844e-02,5.828045813098031019e-02,5.828043710558959006e-02
2.973285536949359445e-02,4.384730182789203790e-02,6.063902878302419863e-02,5.939385462933617632e-02,5.939383311560330475e-02
3.000810835422023509e-02,4.425321981156206397e-02,6.180308953465708799e-02,6.053259693318142898e-02,6.053257465265957787e-02
3.028590950341545143e-02,4.466289559565764927e-02,6.299396255837835801e-02,6.169772614798411242e-02,6.169770270840348181e-02
3.056628240680400732e-02,4.507636396815219854e-02,6.421275153994419893e-02,6.289033159666393424e-02,6.289030681125919175e-02
3.084925087249339865e-02,4.549366003907004408e-02,6.546059297516956810e-02,6.411153493842901285e-02,6.411150907748144889e-02
3.113483892899563191e-02,4.591481924346797056e-02,6.673852767416346699e-02,6.536236552983430703e-02,6.536233879107719580e-02
3.142307082726743944e-02,4.633987734444394019e-02,6.804756921023652483e-02,6.664382698497406388e-02,6.664379927829948425e-02
3.171397104276965639e-02,4.676887043617409395e-02,6.938877063349466190e-02,6.795696196707678993e-02,6.795693308190813020e-02
3.200756427754569006e-02,4.720183494697786225e-02,7.076322655806702167e-02,6.930285423985323157e-02,6.930282403659278334e-02
3.230387546231887341e-02,4.763880764241096299e-02,7.217203929387669414e-02,7.068259586776833026e-02,7.068256437188751018e-02
3.260292975860973330e-02,4.807982562838774426e-02,7.361624611211436964e-02,7.209721679828963448e-02,7.209718401203391025e-02
3.290475256087240646e-02,4.852492635433181684e-02,7.509689979225654677e-02,7.354776305407854931e-02,7.354772897188922853e-02
3.320936949865109511e-02,4.897414761635613539e-02,7.661508848491957457e-02,7.503531604239201125e-02,7.503528072695953011e-02
3.351680643875652732e-02,4.942752756047268103e-02,7.817194007024808045e-02,7.656099682806991047e-02,7.656096047611504751e-02
3.382708948746228350e-02,4.988510468583141205e-02,7.976869184154326831e-02,7.812603365808025446e-02,7.812599633451314252e-02
3.414024499272171054e-02,5.034691784798954461e-02,8.140669905618595770e-02,7.973177022505373301e-02,7.973173164795574475e-02
3.445629954640538201e-02,5.081300626221114947e-02,8.308737360240513181e-02,8.137960629020840608e-02,8.137956599383389111e-02
3.477527998655897956e-02,5.128340950679689814e-02,8.481218342018850831e-02,8.307099717825544571e-02,8.307095470765847589e-02
3.509721339968235876e-02,5.175816752644500640e-02,8.658253417016144315e-02,8.480733936097181735e-02,8.480729454239022136e-02
3.542212712302975075e-02,5.223732063564334033e-02,8.839936687419244765e-02,8.658958146089076879e-02,8.658953466076106664e-02
3.575004874693082924e-02,5.272090952209235876e-02,9.026349454289368801e-02,8.841855037394213968e-02,8.841850215775889921e-02
3.608100611713393330e-02,5.320897525016064084e-02,9.217572735279699891e-02,9.029507254617361034e-02,9.029502315217674546e-02
3.641502733717027346e-02,5.370155926437143734e-02,9.413687026286911286e-02,9.221997179700723579e-02,9.221992062520667499e-02
3.675214077074055036e-02,5.419870339292220951e-02,9.614770654711508879e-02,9.419405353709431328e-02,9.419400003096323193e-02
3.709237504412353503e-02,5.470044985123659331e-02,9.820899662570650723e-02,9.621810379122595902e-02,9.621804816866451338e-02
3.743575904860672182e-02,5.520684124554891409e-02,1.003214883132680091e-01,9.829289925603305889e-02,9.829284195196727469e-02
3.778232194293972696e-02,5.571792057652222990e-02,1.024859151670815538e-01,1.004192058548057376e-01,1.004191468464725456e-01
3.813209315581046754e-02,5.623373124289996611e-02,1.047029887695730133e-01,1.025977714391835965e-01,1.025977102773802524e-01
3.848510238834389197e-02,5.675431704519081494e-02,1.069733893561362059e-01,1.048293169040406952e-01,1.048292536572576761e-01
3.884137961662419147e-02,5.727972218938827409e-02,1.092977730183573998e-01,1.071145433170424682e-01,1.071144780523155260e-01
3.920095509424033342e-02,5.780999129072456749e-02,1.116767706431263385e-01,1.094541310659535166e-01,1.094540630261544717e-01
3.956385935485486061e-02,5.834516937745886506e-02,1.141107979917382470e-01,1.118485567324720709e-01,1.118484843246257271e-01
3.993012321479692817e-02,5.888530189470126547e-02,1.165993506601012419e-01,1.142974130537220273e-01,1.142973367661993395e-01
4.029977777567887720e-02,5.943043470827145958e-02,1.191415429560719608e-01,1.167999296769307166e-01,1.167998514699117307e-01
4.067285442703733045e-02,5.998061410859361481e-02,1.217363321083639593e-01,1.193551898351197932e-01,1.193551110508228041e-01
4.104938484899882389e-02,6.053588681462737653e-02,1.243826023899688438e-01,1.219622116927622096e-01,1.219621312783751577e-01
4.142940101496966898e-02,6.109629997783463939e-02,1.270798331068850873e-01,1.246205927159421134e-01,1.246205096104982812e-01
4.181293519435116263e-02,6.166190118618369159e-02,1.298277672762840063e-01,1.273301898837207180e-01,1.273301038758959114e-01
4.220001995527986050e-02,6.223273846819032257e-02,1.326260668470032322e-01,1.300907872110368957e-01,1.300906977062890046e-01
4.259068816739290664e-02,6.280886029699588036e-02,1.354742146452419527e-01,1.329020013967411318e-01,1.329019064520595705e-01
4.298497300461929377e-02,6.339031559448354836e-02,1.383705090553384587e-01,1.357623129789130578e-01,1.357622126621824965e-01
4.338290794799699868e-02,6.397715373543282069e-02,1.413123383821094092e-01,1.386693315542019134e-01,1.386692285082139486e-01
4.378452678851577767e-02,6.456942455171180151e-02,1.442968137077175750e-01,1.416204062443199019e-01,1.416203023219032575e-01
4.418986362998670453e-02,6.516717833650892411e-02,1.473208099644943148e-01,1.446126654665399192e-01,1.446125584030557576e-01
4.459895289193826357e-02,6.577046584860384015e-02,1.503814732492605444e-01,1.476435059124651950e-01,1.476433937681690400e-01
4.501182931253876196e-02,6.637933831667712503e-02,1.534761109852383898e-01,1.507104866496475348e-01,1.507103706909918295e-01
4.542852795154656009e-02,6.699384744366104760e-02,1.566018210525766119e-01,1.538109718517105262e-01,1.538108533076411044e-01
4.584908419328686396e-02,6.761404541112941979e-02,1.597554915499739547e-01,1.569421307630224915e-01,1.569420075316846075e-01
4.627353374965653687e-02,6.823998488372885751e-02,1.629339559222904021e-01,1.601010873133930368e-01,1.601009584153563758e-01
4.670191266315677076e-02,6.887171901365103655e-02,1.661339509581715446e-01,1.632848798149956482e-01,1.632847473335735378e-01
4.713425730995337432e-02,6.950930144514580467e-02,1.693520052707871981e-01,1.664903537601910843e-01,1.664902183774496780e-01
4.757060440296582288e-02,7.015278631907656548e-02,1.725843981209106703e-01,1.697141224332231468e-01,1.697139795381579774e-01
4.801099099498492423e-02,7.080222827751794790e-02,1.758268249003175077e-01,1.729522451507464753e-01,1.729520938954385856e-01
4.845545448181888537e-02,7.145768246839534488e-02,1.790745249689776331e-01,1.762003508237958427e-01,1.762001960451121674e-01
4.890403260546895975e-02,7.211920455016805620e-02,1.823224756595346052e-01,1.794538251885104962e-01,1.794536695802265158e-01
4.935676345733450154e-02,7.278685069655581319e-02,1.855655628071934127e-01,1.827079753887219937e-01,1.827078133709578445e-01
4.981368548144716329e-02,7.346067760130829682e-02,1.887995495146741753e-01,1.859589627218483643e-01,1.859587929038504506e-01
5.027483747773582590e-02,7.414074248301993908e-02,1.920204978202580404e-01,1.892032460860732235e-01,1.892030722157845013e-01
5.074025860532094950e-02,7.482710308998812010e-02,1.952243426312231522e-01,1.924371723124559952e-01,1.924369944548818545e-01
5.120998838583997598e-02,7.551981770511720371e-02,1.984069767522997907e-01,1.956570585139577600e-01,1.956568693801536141e-01
