k[1/Mpc], k[h/Mpc], Delta2_lin, Delta2_nl, Delta2_nl_30
1.259070431796349969e-04,1.856762176369783064e-04,2.530641976442356767e-10,2.530316910341490445e-10,2.530316785325064666e-10
1.270726321889187197e-04,1.873951219420715432e-04,2.624798600450091762e-10,2.624458326173996285e-10,2.624458250375506615e-10
1.282490116806427928e-04,1.891299390659825655e-04,2.722457690299405233e-10,2.722101496445687937e-10,2.722101480831067240e-10
1.294362815480892305e-04,1.908808163222079797e-04,2.823749488399168318e-10,2.823376630294742346e-10,2.823376656749592371e-10
1.306345426093053028e-04,1.926479023880036767e-04,2.928809077507666638e-10,2.928418775653264160e-10,2.928418818243372701e-10
1.318438966156649920e-04,1.944313473170107456e-04,3.037776560757559414e-10,3.037367999199522236e-10,3.037368038158958258e-10
1.330644462605097859e-04,1.962313025519979123e-04,3.150797248502090443e-10,3.150369573128004163e-10,3.150369596178011283e-10
1.342962951878678317e-04,1.980479209377198518e-04,3.268021851743292573e-10,3.267574168497965309e-10,3.267574172131759400e-10
1.355395480012562754e-04,1.998813567338980429e-04,3.389606682628240602e-10,3.389138055646324151e-10,3.389138045710341786e-10
1.367943102725626390e-04,2.017317656283182826e-04,3.515713861512426008e-10,3.515223311163895075e-10,3.515223295995284994e-10
1.380606885510100618e-04,2.035993047500516914e-04,3.646511533023078007e-10,3.645998033867329756e-10,3.645998019811688087e-10
1.393387903722053192e-04,2.054841326827979895e-04,3.782174090348791666e-10,3.781636568993055468e-10,3.781636559985267460e-10
1.406287242672695675e-04,2.073864094783506372e-04,3.922882407305525934e-10,3.922319740163192536e-10,3.922319737318848765e-10
1.419305997720548206e-04,2.093062966701884746e-04,4.068824078874460919e-10,4.068235089818680719e-10,4.068235091253942479e-10
1.432445274364454839e-04,2.112439572871928578e-04,4.220193669592832848e-10,4.219577127500644059e-10,4.219577130534909533e-10
1.445706188337452403e-04,2.131995558674904001e-04,4.377192972781268824e-10,4.376547588962911414e-10,4.376547591549805560e-10
1.459089865701515684e-04,2.151732584724252474e-04,4.540031279634888476e-10,4.539355705142904988e-10,4.539355706009514198e-10
1.472597442943183782e-04,2.171652327006612154e-04,4.708925657629583771e-10,4.708218480442184030e-10,4.708218479226410510e-10
1.486230067070054919e-04,2.191756477024118610e-04,4.884101239099515325e-10,4.883360981172361015e-10,4.883360978485042490e-10
1.499988895708197938e-04,2.212046741938059177e-04,5.065791519331819514e-10,5.065016633512262059e-10,5.065016630214657951e-10
1.513875097200442278e-04,2.232524844713821297e-04,5.254238667521683871e-10,5.253427534318779753e-10,5.253427531059185628e-10
1.527889850705593040e-04,2.253192524267206957e-04,5.449693849523445546e-10,5.448844773726941375e-10,5.448844770902081326e-10
1.542034346298566010e-04,2.274051535612101299e-04,5.652417561835756863e-10,5.651528768977117062e-10,5.651528766695436536e-10
1.556309785071433125e-04,2.295103650009486988e-04,5.862679977713193826e-10,5.861749610361348337e-10,5.861749608429661370e-10
1.570717379235420151e-04,2.316350655117858839e-04,6.080761304135090979e-10,6.079787418019489355e-10,6.079787416160233425e-10
1.585258352223846803e-04,2.337794355145032712e-04,6.306952155027992418e-10,6.305932714980441269e-10,6.305932712973680423e-10
1.599933938796006317e-04,2.359436571001336511e-04,6.541553938746664820e-10,6.540486814453388299e-10,6.540486812156717193e-10
1.614745385142020277e-04,2.381279140454240178e-04,6.784879258700015415e-10,6.783762220255311277e-10,6.783762217625041332e-10
1.629693948988666225e-04,2.403323918284421446e-04,7.037252328550620242e-10,7.036083041802847034e-10,7.036083038906200115e-10
1.644780899706165076e-04,2.425572776443245932e-04,7.299009400734711975e-10,7.297785422415319156e-10,7.297785419340598863e-10
1.660007518415986319e-04,2.448027604211747772e-04,7.570499214040521758e-10,7.569217986665433519e-10,7.569217983468711324e-10
1.675375098099622228e-04,2.470690308361041124e-04,7.852083458199031709e-10,7.850742304731691098e-10,7.850742301439759381e-10
1.690884943708388264e-04,2.493562813314243050e-04,8.144137254420483504e-10,8.142733372685636022e-10,8.142733369301109706e-10
1.706538372274238303e-04,2.516647061309892604e-04,8.447049653352210226e-10,8.445580110188882538e-10,8.445580106696238547e-10
1.722336713021593033e-04,2.539945012566867735e-04,8.761224148600758590e-10,8.759685873742749472e-10,8.759685870112450219e-10
1.738281307480215980e-04,2.563458645450841767e-04,9.087079213728542886e-10,9.085468993398964036e-10,9.085468989594562909e-10
1.754373509599136316e-04,2.587189956642289195e-04,9.425048859712599122e-10,9.423363329918995198e-10,9.423363325908110145e-10
1.770614685861609259e-04,2.611140961306015335e-04,9.775583211287837388e-10,9.773818850804211988e-10,9.773818846571838986e-10
1.787006215401159583e-04,2.635313693262291129e-04,1.013914910413064654e-09,1.013730222715191121e-09,1.013730222271081986e-09
1.803549490118694972e-04,2.659710205159555711e-04,1.051623070039826638e-09,1.051429744885248500e-09,1.051429744421065553e-09
1.820245914800691373e-04,2.684332568648711663e-04,1.090733013288966879e-09,1.090530646839114533e-09,1.090530646353704270e-09
1.837096907238485594e-04,2.709182874559040613e-04,1.131296817376963243e-09,1.131084986919584450e-09,1.131084986411005065e-09
1.854103898348675138e-04,2.734263233075763023e-04,1.173368492576302353e-09,1.173146755643836595e-09,1.173146755110784244e-09
1.871268332294612007e-04,2.759575773919203685e-04,1.217004053830939235e-09,1.216771947277742947e-09,1.216771946720791487e-09
1.888591666609050902e-04,2.785122646525661034e-04,1.262261594561990820e-09,1.262018633598592643e-09,1.262018633017281749e-09
1.906075372317901954e-04,2.810906020229909821e-04,1.309201363922889835e-09,1.308947041105127113e-09,1.308947040496907619e-09
1.923720934065151688e-04,2.836928084449420067e-04,1.357885846997333211e-09,1.357619631168253150e-09,1.357619630529999142e-09
1.941529850238937576e-04,2.863191048870280934e-04,1.408379847685713673e-09,1.408101182868087692e-09,1.408101182197983715e-09
1.959503633098773736e-04,2.889697143634822993e-04,1.460750574577251485e-09,1.460458878814414555e-09,1.460458878113515470e-09
1.977643808903971703e-04,2.916448619531000698e-04,1.515067729406207199e-09,1.514762393548935851e-09,1.514762392817126061e-09
1.995951918043248937e-04,2.943447748183525845e-04,1.571403599708621991e-09,1.571083986145354379e-09,1.571083985379775975e-09
2.014429515165520467e-04,2.970696822246748762e-04,1.629833155009063664e-09,1.629498596336784517e-09,1.629498595533730695e-09
2.033078169311926795e-04,2.998198155599360966e-04,1.690434146207218903e-09,1.690083943840329504e-09,1.690083942997587556e-09
2.051899464049058497e-04,3.025954083540861807e-04,1.753287208533527507e-09,1.752920631247819838e-09,1.752920630366611717e-09
2.070894997603430084e-04,3.053966962989868809e-04,1.818475967541576773e-09,1.818092249950460328e-09,1.818092249030481217e-09
2.090066382997203141e-04,3.082239172684269517e-04,1.886087150230836299e-09,1.885685491190403373e-09,1.885685490227941094e-09
2.109415248185143562e-04,3.110773113383193188e-04,1.956210700404547181e-09,1.955790261344133180e-09,1.955790260334457086e-09
2.128943236192867080e-04,3.139571208070884704e-04,2.028939897829090740e-09,2.028499801003943023e-09,2.028499799944262620e-09
2.148652005256365249e-04,3.168635902162461756e-04,2.104371481666892824e-09,2.103910808329361635e-09,2.103910807221255183e-09
2.168543228962803188e-04,3.197969663711551481e-04,2.182605777533715501e-09,2.182123566019373926e-09,2.182123564862492770e-09
2.188618596392639243e-04,3.227574983619877587e-04,2.263746830731997257e-09,2.263242074456403343e-09,2.263242073246112376e-09
2.208879812263062222e-04,3.257454375848786569e-04,2.347902544553921548e-09,2.347374189915819673e-09,2.347374188646197935e-09
2.229328597072734825e-04,3.287610377632701098e-04,2.435184823133267751e-09,2.434631767319996154e-09,2.434631765987560389e-09
2.249966687247899105e-04,3.318045549694586226e-04,2.525709719403039418e-09,2.525130808093628725e-09,2.525130806700347622e-09
2.270795835289832025e-04,3.348762476463400771e-04,2.619597587299804701e-09,2.618991612261285774e-09,2.618991610806696939e-09
2.291817809923648414e-04,3.379763766293538210e-04,2.716973241522147091e-09,2.716338938093654314e-09,2.716338936571901722e-09
2.313034396248498748e-04,3.411052051686327556e-04,2.817966123369299392e-09,2.817302167828693626e-09,2.817302166232343818e-09
2.334447395889161750e-04,3.442629989513584462e-04,2.922710471977188267e-09,2.922015478784893532e-09,2.922015477109582303e-09
2.356058627149012585e-04,3.474500261243197914e-04,3.031345501657880148e-09,3.030618020572269081e-09,3.030618018820480042e-09
2.377869925164445499e-04,3.506665573166856597e-04,3.144015584250236611e-09,3.143254097308970062e-09,3.143254095480102679e-09
2.399883142060689120e-04,3.539128656629831997e-04,3.260870440647357365e-09,3.260073359007839423e-09,3.260073357094549159e-09
2.422100147109087880e-04,3.571892268262922307e-04,3.382065339607085496e-09,3.381231000239420216e-09,3.381230998232351246e-09
2.444522826885841670e-04,3.604959190216548487e-04,3.507761302987662525e-09,3.506887965213458514e-09,3.506887963107134488e-09
2.467153085432189676e-04,3.638332230396976435e-04,3.638125318290718910e-09,3.637211160160647464e-09,3.637211157958225729e-09
2.489992844416101503e-04,3.672014222704765574e-04,3.773330557202860065e-09,3.772373671705917204e-09,3.772373669406610700e-09
2.513044043295466147e-04,3.706008027275425410e-04,3.913556605147432072e-09,3.912554996243353912e-09,3.912554993837901938e-09
2.536308639482763323e-04,3.740316530722257848e-04,4.058989699544492490e-09,4.057941278011005819e-09,4.057941275487660755e-09
2.559788608511300392e-04,3.774942646381507770e-04,4.209822975768656306e-09,4.208725554855216047e-09,4.208725552207136282e-09
2.583485944202947113e-04,3.809889314559721050e-04,4.366256721822387710e-09,4.365108012701514868e-09,4.365108009932670043e-09
2.607402658837451701e-04,3.845159502783441195e-04,4.528498639962667236e-09,4.527296246970110946e-09,4.527296244079472874e-09
2.631540783323324095e-04,3.880756206051207743e-04,4.696764121885988725e-09,4.695505537538865573e-09,4.695505534514782589e-09
2.655902367370273440e-04,3.916682447087853174e-04,4.871276534354873700e-09,4.869959134137353581e-09,4.869959130965106006e-09
2.680489479663271325e-04,3.952941276601196446e-04,5.052267513916664053e-09,5.050888550822784221e-09,5.050888547493766067e-09
2.705304208038225057e-04,3.989535773541107145e-04,5.239977272055220366e-09,5.238533870877626818e-09,5.238533867396855764e-09
2.730348659659247428e-04,4.026469045360931017e-04,5.434654908681409789e-09,5.433144060035060886e-09,5.433144056401210960e-09
2.755624961197601576e-04,4.063744228281376651e-04,5.636558741857111046e-09,5.634977295924315564e-09,5.634977292122734917e-09
2.781135259012293827e-04,4.101364487556840525e-04,5.845956649995688022e-09,5.844301309979396601e-09,5.844301305991556386e-09
2.806881719332319407e-04,4.139333017744166628e-04,6.063126424961902157e-09,6.061393740234181869e-09,6.061393736049340320e-09
2.832866528440615233e-04,4.177653042973919809e-04,6.288356137638025627e-09,6.286542496569674614e-09,6.286542492194153872e-09
2.859091892859721941e-04,4.216327817224188026e-04,6.521944513336739007e-09,6.520046135794336463e-09,6.520046131226415992e-09
2.885560039539132940e-04,4.255360624596863078e-04,6.764201326884941417e-09,6.762214256378141621e-09,6.762214251599388527e-09
2.912273216044406919e-04,4.294754779596529929e-04,7.015447812630757538e-09,7.013367908093459679e-09,7.013367903080621917e-09
2.939233690748031336e-04,4.334513627411932103e-04,7.276017087429895996e-09,7.273840014618880197e-09,7.273840009358467278e-09
2.966443753022022806e-04,4.374640544200003914e-04,7.546254588506444803e-09,7.543975810999905837e-09,7.543975805499920733e-09
2.993905713432352738e-04,4.415138937372588821e-04,7.826518522831329636e-09,7.824133292610179096e-09,7.824133286868387592e-09
3.021621903935132634e-04,4.456012245885757690e-04,8.117180340497760638e-09,8.114683688088012174e-09,8.114683682081205237e-09
3.049594678074641989e-04,4.497263940531841904e-04,8.418625225952841797e-09,8.416011950108544684e-09,8.416011943807537727e-09
3.077826411183190664e-04,4.538897524234169925e-04,8.731252604621697982e-09,8.728517261527885889e-09,8.728517254915806082e-09
3.106319500582800544e-04,4.580916532344492687e-04,9.055476667343756887e-09,9.052613559317380746e-09,9.052613552404308112e-09
3.135076365788802446e-04,4.623324532943226821e-04,9.391726908730528685e-09,9.388730072397828890e-09,9.388730065180878223e-09
3.164099448715267495e-04,4.666125127142408931e-04,9.740448694059609672e-09,9.737311887982804370e-09,9.737311880432794392e-09
3.193391213882375962e-04,4.709321949391499697e-04,1.010210384747673112e-08,1.009882053920430023e-08,1.009882053128452398e-08
3.222954148625700277e-04,4.752918667786019914e-04,1.047717125870532746e-08,1.047373461122009269e-08,1.047373460290946201e-08
3.252790763307404891e-04,4.796918984379007077e-04,1.086614751100353389e-08,1.086255036854095316e-08,1.086255035985215040e-08
3.282903591529421033e-04,4.841326635495385227e-04,1.126954752539911078e-08,1.126578239860888393e-08,1.126578238953819173e-08
3.313295190348602287e-04,4.886145392049258884e-04,1.168790523971161249e-08,1.168396429012840421e-08,1.168396428063914704e-08
3.343968140493837706e-04,4.931379059864087703e-04,1.212177431304984633e-08,1.211764933684083985e-08,1.211764932688691066e-08
3.374925046585208646e-04,4.977031479995883351e-04,1.257172885225544734e-08,1.256741126321250021e-08,1.256741125276750036e-08
3.406168537355170342e-04,5.023106529059386850e-04,1.303836416369784141e-08,1.303384497543963747e-08,1.303384496451956464e-08
3.437701265871753904e-04,5.069608119557223683e-04,1.352229752419708345e-08,1.351756733154769751e-08,1.351756732014775569e-08
3.469525909763864066e-04,5.116540200212157550e-04,1.402416899416201532e-08,1.401921795366283896e-08,1.401921794173682847e-08
3.501645171448662403e-04,5.163906756302406994e-04,1.454464226116388249e-08,1.453946007067839921e-08,1.453946005816850013e-08
3.534061778361024088e-04,5.211711810000035743e-04,1.508440550958567317e-08,1.507898138695680393e-08,1.507898137382998032e-08
3.566778483185152203e-04,5.259959420712508917e-04,1.564417232065607433e-08,1.563849498137262030e-08,1.563849496764899579e-08
3.599798064088333355e-04,5.308653685427419449e-04,1.622468259588999706e-08,1.621874022971993874e-08,1.621874021539332935e-08
3.633123324956828086e-04,5.357798739060356521e-04,1.682670353023471748e-08,1.682048377677168622e-08,1.682048376178402717e-08
3.666757095633975763e-04,5.407398754806039612e-04,1.745103062148870811e-08,1.744452054456087742e-08,1.744452052883949924e-08
3.700702232160503111e-04,5.457457944492704075e-04,1.809848871121585734e-08,1.809167477210668529e-08,1.809167475561031497e-08
3.734961617017022836e-04,5.507980558939717637e-04,1.876993306177998961e-08,1.876280109120640681e-08,1.876280107396036933e-08
3.769538159368831295e-04,5.558970888318582855e-04,1.946625046010515104e-08,1.945878562890072468e-08,1.945878561089706916e-08
3.804434795312912516e-04,5.610433262517198691e-04,2.018836038297486367e-08,2.018054717140991340e-08,2.018054715257561635e-08
3.839654488127290069e-04,5.662372051507579603e-04,2.093721620569394431e-08,2.092903837136897679e-08,2.092903835161283658e-08
3.875200228522629182e-04,5.714791665716898806e-04,2.171380644773659935e-08,2.170524699198590443e-08,2.170524697125606676e-08
3.911075034896208395e-04,5.767696556402017232e-04,2.251915606159605207e-08,2.251019719433334071e-08,2.251019717266198290e-08
3.947281953588238504e-04,5.821091216027486290e-04,2.335432775391351023e-08,2.334495085685374722e-08,2.334495083423048982e-08
3.983824059140524468e-04,5.874980178646990779e-04,2.422042337973512432e-08,2.421060896790732980e-08,2.421060894424030612e-08
4.020704454557552676e-04,5.929368020288382701e-04,2.511858538845373158e-08,2.510831306992530222e-08,2.510831304510000400e-08
4.057926271569998154e-04,5.984259359342276657e-04,2.604999831417129742e-08,2.603924674790451742e-08,2.603924672185625583e-08
4.095492670900632739e-04,6.039658856954184096e-04,2.701589031765262814e-08,2.700463716940805459e-08,2.700463714217712655e-08
4.133406842532736129e-04,6.095571217420344681e-04,2.801753476678436440e-08,2.800575666298863363e-08,2.800575663456185058e-08
4.171672005980983796e-04,6.152001188587204921e-04,2.905625190466653758e-08,2.904392438413778036e-08,2.904392435439958847e-08
4.210291410564813387e-04,6.208953562254553808e-04,3.013341057932225594e-08,3.012050804275362159e-08,3.012050801156038923e-08
4.249268335684354718e-04,6.266433174582442325e-04,3.125043002648686915e-08,3.123692568358871831e-08,3.123692565085929906e-08
4.288606091098915774e-04,6.324444906501866222e-04,3.240878171362350004e-08,3.239464752781778460e-08,3.239464749360297395e-08
4.328308017208007917e-04,6.382993684129195785e-04,3.360999122755918809e-08,3.359519785812364329e-08,3.359519782240655354e-08
4.368377485335011657e-04,6.442084479184503323e-04,3.485564027085000373e-08,3.484015701237666680e-08,3.484015697501192592e-08
